,job_title,company_name,job_location,date,job_description,Big Data,C/C++,Cloud,Data Mining/Analytics,DevOps,Excel,Java/Scala,MATLAB,Machine Learning,Math,NLP,Python,R,REST,RapidMiner,Ruby,SAS,SPSS,SQL/databases,Stata,Visualisation,communication,consulting,leadership,problem solving,project_management
0,Discovery Project Manager,Xenon Pharmaceuticals Inc.,"Burnaby, BC",save job,"We are a clinical stage biopharmaceutical company committed to developing innovative therapeutics to improve the lives of patients with neurological disorders, including rare central nervous system (CNS) conditions. Xenon is advancing a novel product pipeline of neurology therapies to address areas of high unmet medical need, with a focus on epilepsy.We are seeking a Project Manager – Drug Discovery to join our team.RESPONSIBILITIES: Manage the Company’s discovery-stage Contract Research Organizations (CROs) under both FTE and fee-for-service arrangements. Perform contract-related activities (drafting, contract change control, monitoring for performance, accepting deliverables, managing invoices and tracking accruals) relating to same within the scope of the Company’s contact management systems and policies.Coordinate project team, project subteam, and functional group meetings for the Company’s discovery-stage programs. Track action items and timelines. Schedule internal and external studies, as required.Manage compound logistics for outbound (e.g., preparation for shipment, tracking) and inbound (e.g., compound receipt and registration) shipments with CROs and partners.Manage data workflows and progression of compound through program flowcharts. Ensure the timely distribution of externally-generated data and reports to appropriate stakeholders.Serve as the point person for the Dotmatics Browser software platform, through which the Company’s compound and assay data are managed.Manage drafting and approval of Discovery preclinical reports to support regulatory filings.QUALIFICATIONS: BSc or MSc in the fields of chemistry or biologyAt least 3 years experience in drug development in the biotech or pharmaceutical industryExcellent communication skills, both oral and writtenHighly organized with keen attention to detailStrong desire to manage projects to timeline and budgetAbility to interface with internal and external stakeholders including scientists, executives, and members of the finance and legal departmentsExtensive intermediate to advanced computer skills (Power Point, Excel, Word, MS Project, SharePoint)Knowledge of project management methodology, including developing Gannt ChartsAbility to influence colleagues in a cross-functional team environmentWilling and able to learn new skills to meet changing needs of the organizationExperience with Dotmatics Browser and/or Electronic Lab Notebook implementation preferredTo apply for this position, please submit your resume and cover letter and include “Discovery Project Manager” in the subject line. All attachments must be saved as one file and be named: “Your Full Name – Discovery Project Manager.” We thank all applicants for their interest; however, due to the volume of applicants, only those chosen for interview will be contacted.Job Type: Full-time",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1,Microbiologist,Lallemand Inc. / BioForest,"Sault Ste. Marie, ON",save job,"Sault Ste. Marie, ONPermanent$62,000 - $75,000 a yearSpecificationsLocation: Sault Ste. Marie, Ontario, CanadaBusiness Group/Department: Lallemand Plant Care / Technical Marketing GroupStarting date: February 1, 2019Status: Full time, permanentWork schedule: 5 days a week, 35 hours per weekBenefits: Group insurance benefits, pension plan benefitsOrganizationLallemand Inc. is a privately held Canadian company, founded at the end of the 19th century, specializing in the development, production, and marketing of yeasts and bacteria. The company operates ten business units: Animal Nutrition, Baking, Bio-Ingredients, Biofuels & Distilled Spirits, Brewing, Health Solutions, Manufacturing & Specialty Cultures, Oenology, Pharma, and Plant Care. Administrative offices for the parent company are in Montreal, Canada and for the Plant Care business unit in Toulouse, France.Yeast, bacteria, and fungi: micro-organisms have always lived in harmony with plants, and they are now being recognized for their many agricultural benefits. As an international specialist in micro-organisms, Lallemand Plant Care carefully selects strains for agricultural use, in order to improve plant nutrition, health, and productivity.Joining the Lallemand Plant Care team means collaborating with people who work passionately to develop sustainable, efficient, and clean solutions for agriculture professionals, green spaces, and the forestry sector. We are regularly looking to recruit new talent across the globe to help support our commercial, logistical, marketing, production, and research and development efforts.Main functionsReporting to the Technical Marketing Manager of Lallemand Plant Care in Canada, you will assist our applied R&D team and be responsible for independently executing, troubleshooting and optimizing laboratory and greenhouse research trials using beneficial fungi, bacteria, yeast and plant stimulating extracts.Task associated with this position also include to, but may not be limited to:Performing greenhouse trials and growth chamber plant-microbiome studiesDevelop or modifying experimental protocols as needed, from literature reviews, consultation with other scientistsExecuting aseptic laboratory techniques to culture and enumerate fungi, yeast and/or bacteriaInitiate communication with required staff and business units as needed to coordinate project activities effectivelyGenerate oral and written reports as necessary to summarize laboratory activities and projectsHave knowledge of and execute basic statistical data analysesMaintain records of laboratory activities and notebooks in a professional and accurate mannerProvide recommendations and observations to staff and management on results of projects/tasksContribute to the technical marketing and commercialization strategy of our product portfolioRequired qualificationsTechnical skillsMaster’s Degree in Plant Pathology, Plant-Microbe Interactions, Microbiology and/or a related fieldFive years experience in laboratory and growth chamber experiments and greenhouse environments and practicesA demonstrated ability to design experiments and do careful and meticulous experimentationStrong analytical skills with the ability to analyze data sets and critically evaluate scientific research resultsSound knowledge surrounding plant-microbe interactionsSuperior organizational skills to use time productively, maximize efficiencies, and meet deadlinesStrong written communication skills, including experience in writing comprehensive reports, and proposalsProficiency in statistical data analyses using software packagesGeneral criteriaDemonstrated ability to execute and complete projectsOrganized and reliable; able to juggle multiple streams of work, keep things on track and consistently meet deadlines for processing work, with a strong attention to detailNot afraid to speak up and make suggestions for areas for improvementSelf-aware, reflective, and able to learn from mistakes. Shows an ability to learn quickly while on the job and through formal trainingStrong proficiency in Microsoft programs (Excel, Word, Outlook, PowerPoint)Good interpersonal skills and team workLanguage of Work: EnglishPersonal strengths requiredDesire to learn continuouslyExcellent work ethicEthical and honestLogical with strong common senseEnthusiastic personalitySense of initiativeLarge sense of autonomyGreat team spiritDetail orientedIs this offer for you? Apply now to: Please send your resume and include two professional references as well as a cover letter to Carrie Morin, Administrative Assistant & Customer Support Specialist.59 Industrial Park Crescent, Unit 1, Sault Ste. Marie, ON P6B 5P3Toll-free: 1-888-236-7378; Phone 705-942-5824Thank you for your interest in our organization, please note that for reasons of treatment volume, only retained candidates will be contacted.Job Types: Full-time, PermanentSalary: $62,000.00 to $75,000.00 /year",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,"Research Scientist, Electrophysiology",Xenon Pharmaceuticals Inc.,"Burnaby, BC",save job,"We are a clinical stage biopharmaceutical company focused on developing innovative therapeutics to improve the lives of patients with neurological disorders. Building upon our extensive knowledge of human genetics and diseases caused by mutations in ion channels, known as channelopathies, we are advancing – both independently and with our pharmaceutical collaborators – a novel product pipeline of ion channel modulators to address therapeutic areas of high unmet medical need, such as pain and epilepsy.We are in search of a highly motivated and creative electrophysiologist who will contribute to characterizing and elucidating the effects of novel agents on the function of target ion channels. The primary role will be to develop and run electrophysiological assays using techniques including automated high throughput planar patch clamp systems and manual patch clamp electrophysiology. In addition, this scientist will devise and conduct experiments to deepen our understanding of compound mechanism of action on our targets of interest. Our intent is to identify a scientist with the potential to actively and independently evaluate and drive new avenues of research. Expertise in electrophysiology and biophysics is essential. The successful candidate will join a passionate, diverse, and dynamic team focused on developing treatments for epilepsy and other neurologic indications. This position is located in our Burnaby, BC office.RESPONSIBILITIES: Creating, implementing and validating new assays of ion channel and or excitable cell function both independently and as part of a larger team.Timely delivery of data and interpretation to drive and inform project team directions.Active participation in and presentation at group and project meetings.Coordination and documentation of datasets to support internal decision making as well as external publications and regulatory filings.May supervise research associates.QUALIFICATIONS: PH.D. or commensurate experience in ion channel biophysics, neuropharmacology or related field with an in depth knowledge of electrophysiological techniques essential.Experience investigating ion channel function and or pharmacology electrophysiology and creatively quantifying effects in these assays.Excellent analytical skills allowing for qualitative and quantitative evaluation of complex systems and datasets and distillation of that data into clear, insightful interpretations.Experience handling and managing large datasets.Enthusiasm for laboratory work, good problem solving abilities.Excellent oral and written communication skills in English.Excellent record keeping, attention to detail.An adaptable mindset, able to adapt to rapidly changing projects and priorities; takes initiative.Ability to work in a dynamic and enthusiastic team environment is critical.To apply for this position, please submit your resume and cover letter and include “Electrophysiologist” in the subject line. All attachments must be saved as one file and be named: “Your Full Name – Electrophysiologist.” We thank all applicants for their interest; however, due to the volume of applicants, only those chosen for interview will be contacted.Job Type: Full-time",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
3,"Research Scientist, In Vitro Biology",Xenon Pharmaceuticals Inc.,"Burnaby, BC",save job,"We are a clinical stage biopharmaceutical company committed to developing innovative therapeutics to improve the lives of patients with neurological disorders, including rare central nervous system (CNS) conditions. Xenon is advancing a novel product pipeline of neurology therapies to address areas of high unmet medical need, with a focus on epilepsy.We are seeking a Research Scientist to join our team. We are in search of a highly motivated and creative individual who will be part of our in vitro biology team to design and implement new assays to both support medicinal chemistry and explore and enhance our understanding of early and late stage neuroscience based programs. A primary goal will be to develop functional assays using emerging technologies that can provide translational insight into efficacy of compounds in neuronal networks. Likely technical approaches may include, but are not limited to multi-electrode arrays, high-content imaging, iPSC, organoids, and optogenetics. Our intent is to identify a scientist with the potential to become a thought leader at Xenon, actively and independently evaluating and driving new avenues of research. Expertise in neuroscience is essential; experience in drug discovery is preferred. The successful candidate will join a passionate, diverse, and dynamic team focused on epilepsy and other neurologic indications. This position is located in our Burnaby, BC office.RESPONSIBILITIES: Creating, implementing and validating new assays to support medicinal chemistry and inform the translation of target based interventions on neuronal function both independently and as part of a larger team.Timely delivery of data and interpretation to drive and inform project team directions.Active participation and presentations ingroup and project team meetings.Coordination and documentation of datasets to support internal decision making as well as external publications, patents and regulatory filings.May supervise research assistants.QUALIFICATIONS: Ph.D. in neuroscience, neuropharmacology or related field.Postdoctoral training and/or experience establishing and validating in vitro assays of neuronal function and quantifying pharmacological effects in these assays.Excellent analytical skills allowing for qualitative and quantitative evaluation of complex systems and datasets and distillation of that data into clear, insightful interpretations.Experience creating functional assays with native or IPSC derived human neurons preferred.Proven interpersonal skills with the ability to work collaboratively as a member of a dynamic and enthusiastic cross-functional team. Ability to establish and maintain effective working relationships.Enthusiasm for laboratory work, good problem solving abilities.Excellent oral and written communication skills in English.Excellent record keeping, attention to detail.An adaptable mindset, able to adapt to rapidly changing projects and priorities; takes initiative and acts proactively.Demonstrated leadership and supervisory skills preferred.To apply for this position, please submit your resume and cover letter and include “Research Scientist, In Vitro” in the subject line. All attachments must be saved as one file and be named: “Your Full Name – Research Scientist, In Vitro.” We thank all applicants for their interest; however, due to the volume of applicants, only those chosen for interview will be contacted.Job Type: Full-time",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
4,Engineer - Mechanical / Thin Film / Optical - R&D,3E Nano Inc.,"Toronto, ON",save job,"Research:The program is based on the research, development, and commercialization of the Lowest Cost, Highest Performing, Ultra Transparent Solar/Energy Control Coating (SCC) for glass and polymer/plastic sheets or roll to roll films.Specific Duties:The principal duty of the position will be to undertake laboratory research, developing the assigned program (see above), in a timely and resource efficient manner, as appropriate for the research area.To work towards developing and securing intellectual property (IP) submissions of the kind that will enhance 3E Nano Inc.’s research and commercialization reputation at national and international levels and that will clearly demonstrate 3E Nano’s Inc.s technology originality and novelty.To attend and participate in 3E Nano’s Inc.s and UofT’s activities, e.g. Laboratory, research group weekly, monthly, quarterly meetings, …To make research and commercialization initiatives that are original contributions to the research programme, wherever possible, and to contribute freely to the teams’ research and development environments in a manner conducive to the success of the commercialization program as a whole.To assist with experimental and validation procedures, when and where necessary.General Duties:Plan, prepare action plans, daily action lists aligned with 3E Nano Inc.’s overall project/program plan.Coordinate and align the research and development teams, to meet the overall project/program plan.Execute and participate in experiments.Collect and analyse data.Maintain appropriate databases, keeping accurate written and computerised records and to ensure that these records are stored in a secure place and to maintain confidentiality of all electronically stored personal data in line with the provisions of 3E Nano Inc’s Policies and Procedures.Prepare reports and scientific publications to disseminate results from the programme of research.Prepare administrative reports by integrating equipment and facility usage and costs per 3E Nano Inc.’s guidelines.Keep up to date with specific and professional issues, in particular developments, in this specific technology area.Undertake literature searches to explore potential research projects/programmes and to be able to interpret and present the findings of the literature searches and advise the research teams appropriately regarding potential projects.To supervise and train where necessary new members of 3E Nano Inc. and UofT research teams.To assist in drafting budgets and applications for potential research programme funding and grants.Undertake such other duties as may be reasonably expected by the Sr. Scientist, CSA, and CTO.These duties will be subject to review in line with the changing requirements of 3E Nano Inc., and with the development needs of the postholder as identified through regular review/appraisal processes with the CTO.Job Type: Full-timeExperience:Hands On + Theoretical: 7 years (Preferred)Education:Master's Degree (Preferred)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,Scientist - Thin Film / Optical - R&D,3E Nano Inc.,"Toronto, ON",save job,"Research:The program is based on the research, development, and commercialization of the Lowest Cost, Highest Performing, Ultra Transparent Solar/Energy Control Coating (SCC) for glass and polymer/plastic sheets or roll to roll films.Specific DutiesThe principal duty of the position will be to undertake laboratory research, developing the assigned program (see above), in a timely and resource efficient manner, as appropriate for the research area.To work towards developing and securing intellectual property (IP) submissions of the kind that will enhance 3E Nano Inc.’s research and commercialization reputation at national and international levels and that will clearly demonstrate 3E Nano’s Inc.s technology originality and novelty.To attend and participate in 3E Nano’s Inc.s and UofT’s activities, e.g. Laboratory, research group weekly, monthly, quarterly meetings, …To make research and commercialization initiatives that are original contributions to the research programme, wherever possible, and to contribute freely to the teams’ research and development environments in a manner conducive to the success of the commercialization program as a whole.To assist with experimental and validation procedures, when and where necessary.General Duties:Plan, prepare action plans, daily action lists aligned with 3E Nano Inc.’s overall project/program plan.Coordinate and align the research and development teams, to meet the overall project/program plan.Execute and participate in experiments.Collect and analyse data.Maintain appropriate databases, keeping accurate written and computerised records and to ensure that these records are stored in a secure place and to maintain confidentiality of all electronically stored personal data in line with the provisions of 3E Nano Inc’s Policies and Procedures.Prepare reports and scientific publications to disseminate results from the programme of research.Prepare administrative reports by integrating equipment and facility usage and costs per 3E Nano Inc.’s guidelines.Keep up to date with specific and professional issues, in particular developments, in this specific technology area.Undertake literature searches to explore potential research projects/programmes and to be able to interpret and present the findings of the literature searches and advise the research teams appropriately regarding potential projects.To supervise and train where necessary new members of 3E Nano Inc. and UofT research teams.To assist in drafting budgets and applications for potential research programme funding and grants.Undertake such other duties as may be reasonably expected by the Sr. Scientist, CSA, and CTO.These duties will be subject to review in line with the changing requirements of 3E Nano Inc., and with the development needs of the postholder as identified through regular review/appraisal processes with the CTO.Job Type: Full-timeExperience:Hands On - Theoretical: 7 years (Preferred)Education:Doctoral Degree (Preferred)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,Technologist - Mechanical / Thin Film - R&D,3E Nano Inc.,"Toronto, ON",save job,"Research:The program is based on the research, development, and commercialization of the Lowest Cost, Highest Performing, Ultra Transparent Solar/Energy Control Coating (SCC) for glass and polymer/plastic sheets or roll to roll films.Specific Duties:The principal duty of the position will be to prepare and setup research, testing, monitoring equipment at 3ENano’s research lab facilities and/or other facilities as required. Including, participating in the research and monitoring or generating testing data as required or assigned.To attend and participate in 3E Nano’s Inc.s and UofT’s activities, e.g. Laboratory, research group weekly, monthly, quarterly meetings, …To make research and commercialization initiatives that are original contributions to the research programme, wherever possible, and to contribute freely to the teams’ research and development environments in a manner conducive to the success of the commercialization program as a whole.To assist with experimental and validation procedures, when and where necessary.General Duties:Plan, prepare action plans, daily action lists aligned with 3E Nano Inc.’s overall project/program plan.Participate in experiments as requested or assigned.Collect and analyse data.Maintain appropriate databases, keeping accurate written and computerised records and to ensure that these records are stored in a secure place and to maintain confidentiality of all electronically stored personal data in line with the provisions of 3E Nano Inc’s Policies and Procedures.Prepare administrative reports by integrating equipment and facility usage and costs per 3E Nano Inc.’s guidelines.Keep up to date with specific and professional issues, in particular developments, in this specific technology area.Undertake technical and engineering searches to explore potential designs, configurations, next generation systems, etc., and present the findings of the literature searches and advise the research teams appropriately regarding potential directions and opportunities.To supervise and train where necessary new members of 3E Nano Inc. and UofT research teams.To assist in drafting budgets and applications for potential research programme funding and grants.Undertake such other duties as may be reasonably expected by the Sr. Scientist, CSA, and CTO.These duties will be subject to review in line with the changing requirements of 3E Nano Inc., and with the development needs of the postholder as identified through regular review/appraisal processes with the CTO.Job Type: Full-timeExperience:Hands On: 5 years (Preferred)Education:AEC / DEP or Skilled Trade Certificate (Preferred)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,Laboratory Coordinator,AGAT Laboratories,"Edmonton, AB",save job,"Edmonton, ABContractAGAT Laboratories is a full-service laboratory with locations across Canada. We are the most diversified laboratory in Canada. Our scientists are highly-skilled and specialized in the fields of biochemistry, chemistry, microbiology, geology, engineering and other specialty services. With a broad range of staff experience and state-of-the-art instrumentation, we provide cross-analytical solutions for the Environmental, Energy, Mining, Transportation, Industrial, Agri-food and Life Sciences sectors.Job Summary:  The Lab Coordinator is the organizer of the samples though the laboratory. This position is given direction from the Laboratory Supervisor. The Lab Coordinator works directly with the Client Services Team to provide sample turnaround times.Duties and Responsibilities: Monitor the progression of samples through the lab and address concerns as they ariseLiaise between Laboratory and Client Services groupProvide Laboratory Supervision in the absence of the Lab Manager or SupervisorFollow all Quality Control and Standard Operating ProceduresResponsible for ongoing monitoring and maintenance of QA/QC data including charts etc.Other duties as assigned.Qualifications: Technical Diploma or degree in Science required3+ years hands on laboratory experience in a senior roleProficient with running instrumentation such as ICP-OES, ICP-MS, & IC, etc.Ability to problem solve, coach, and organizeKnowledge of full laboratory processesAdvanced Computer SkillsAbility to work in a positive manner in a fast paced environmentMust be willing to work weekends and eveningsWhat AGAT Offers: Medical BenefitsDental BenefitsVision BenefitsRSP MatchingTravel Medical InsuranceReferral BonusesAGAT Laboratories would like to thank all applicants; however only candidates selected for interviews will be contacted. Send your resume and your cover letter in Word or PDF format via http://www.agatlabs.com/careers. Please indicate in the comments line what position you are applying for.AGAT Laboratories is an equal opportunity employer. We are committed to an inclusive, barrier-free recruitment and selection process and work environment. If you are contacted for a job opportunity, please advise the hiring manager of any accommodations that are required. Any information received relating to accommodations will be treated as confidential.Thank you for your interest in AGAT Laboratories.Job Types: Full-time, ContractExperience:laboratory experience in a senior role: 3 years (Required)Education:Bachelor's Degree (Preferred)Location:Edmonton, AB (Preferred)Language:English (Required)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,Laboratory Quality Assurance Officer,AGAT Laboratories,"Mississauga, ON",save job,"Mississauga, ONPermanentAGAT Laboratories is a full-service laboratory with locations across Canada. We are the most diversified laboratory in Canada and our scientists are highly-skilled and specialized in the fields of biochemistry, chemistry, microbiology, geology, engineering and other specialty services. With a broad range of staff experience and state-of-the-art instrumentation, we provide cross-analytical solutions for the Environmental, Energy, Mining, Transportation, Industrial, Agri-foodand Life Sciencessectors.Quality Assurance Officer– Mining DivisionAGAT’s Quality Assurance Officeris responsible for ensuring all quality metrics are met in the laboratory where they work. This position requires a person to stand, sit and lift throughout the shift in an office environment. Manual dexterity is required to perform repetitive tasks. PPE is required where applicable.Duties and Responsibilities: Identify, report and investigate non-conformance and recommend corrective actions, as requiredAdvise and train staff in matters of QADevelop and carry out QA and QC programs, including statistical procedures and techniques which will meet desired quality standardsAdvise management in reviewing technological methods, equipment and facilities with respect to their QA characteristicsCoordinate schedules for measurement system functional checks, calibrations and other assessment proceduresDevelop systems for control sample measurement; advise in the selection of suitable samples and/or prepare samples as delegated by managementEvaluate data quality and maintain records, control charts and other pertinent performance informationDistribute controlled hard copies of Quality documents, as requiredAssist in the maintenance of the Health and Safety ProgramThis position reports to the QA General Manager in CalgaryQualifications: B.Sc. in Chemistry or Chemical Technology DiplomaMinimum of 2 years’ experience in a laboratory environmentKnowledge of QA and QC programs in a laboratory settingKnowledge of ISO 17025 is an assetStrong written and verbal communication, organizational, time management skills.Strong computer skills – Outlook, Word, Excel and other spreadsheet programs.Accuracy, proofreading and attention to detailAbility to work in both individually and in a team environment.Ability to multi-task and complete responsibilities in a timely mannerAGAT Laboratories would like to thank all applicants; however only candidates selected for interviews will be contacted. Send your resume and your cover letter in Word or PDF format via http://www.agatlabs.com/careers. Please indicate in the comments line what position you are applying for.AGAT Laboratories is an equal opportunity employer. We are committed to an inclusive, barrier-free recruitment and selection process and work environment. If you are contacted for a job opportunity, please advise the hiring manager of any accommodations that are required. Any information received relating to accommodations will be treated as confidential.Thank you for your interest in AGAT Laboratories.Job Types: Full-time, PermanentExperience:laboratory: 2 years (Required)Location:Mississauga, ON (Required)",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
9,Laboratory Technician - Mining,AGAT Laboratories,"Mississauga, ON",save job,"Mississauga, ONContractAGAT Laboratories is a full-service laboratory with locations across Canada. We are the most diversified laboratory in Canada. Our scientists are highly-skilled and specialized in the fields of biochemistry, chemistry, microbiology, geology, engineering and other specialty services. With a broad range of staff experience and state-of-the-art instrumentation, we provide cross-analytical solutions for the Environmental, Energy, Mining, Transportation, Industrial, Agri-foodand Life Sciencessectors.Chemist/Senior ICPMS/ICPOES Technician - MiningDuties and Responsibilities: Responsible to run and review data of complex samples on ICP-OES and ICP-MSMonitoring of control charts for multiple elementsResponsible for investigating non conformanceParticipating in client calls as requiredResponsible for reviewing data from multiple methods comparing overlapping elementsTraining and supporting team members as requiredResponsible for both operation and maintenance of laboratory equipmentAssist with the method development of any laboratory procedures deemed necessary for the expansion of the current scope of analysis capabilitiesMaintain quality standards of sample processing as per AGAT's training proceduresProvides general lab support including washing of glassware and cleaning work stationsQualifications: Minimum 5 years hand-on experience with ICP-MS/ICPOES in a fast-paced commercial or government laboratory settingFamiliarity with ICP-MS interference reduction technologies and Perkin Elmer software/instrumentation is a big plusBS/BA degree in chemistry, geochemistry, or a related fieldMS/MA in chemistry, geochemistry, or a related field is a plusExperience in mining and geochemistry a plusProficiency in computer applications including MS Excel and statistical analysisAbility to read and follow SOPsExcellent verbal and written communication skillsHigh level of organization and attention to detailAbility to perform repetitive tasks with a high level of successAGAT Laboratories would like to thank all applicants; however only candidates selected for interviews will be contacted. Send your resume and your cover letter in Word or PDF format via http://www.agatlabs.com/careers. Please indicate in the comments line what position you are applying for.AGAT Laboratories is an equal opportunity employer. We are committed to an inclusive, barrier-free recruitment and selection process and work environment. If you are contacted for a job opportunity, please advise the hiring manager of any accommodations that are required. Any information received relating to accommodations will be treated as confidential.Thank you for your interest in AGAT Laboratories.Job Type: ContractExperience:ICP-MS/ICPOES: 5 years (Required)Education:Bachelor's Degree (Required)Location:Mississauga, ON (Preferred)",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
